Año,Edad,Peso
1984,20.0,68.48002350176263
1984,21.0,70.1355140186916
1984,22.0,71.89289145052834
1984,23.0,72.07832512315271
1984,24.0,72.43288590604027
1984,25.0,73.54099378881988
1984,26.0,72.18929503916449
1984,27.0,72.91967509025271
1984,28.0,73.2381974248927
1984,29.0,73.05555555555556
1984,30.0,72.97104247104247
1984,31.0,73.43121693121694
1984,32.0,72.97931034482758
1984,33.0,73.5748031496063
1984,34.0,71.80459770114942
1984,35.0,72.85714285714286
1984,36.0,75.54901960784314
1984,37.0,75.82142857142857
1984,38.0,71.40217391304348
1984,39.0,73.52777777777777
1984,40.0,73.92307692307692
1984,41.0,77.16666666666667
1984,42.0,69.70588235294117
1984,43.0,73.9375
1984,44.0,90.14285714285714
1984,45.0,73.3
1984,46.0,72.45454545454545
1984,47.0,66.07142857142857
1984,48.0,67.0
1984,49.0,74.75
1984,50.0,75.83333333333333
1984,51.0,78.66666666666667
1984,52.0,70.33333333333333
1984,53.0,79.66666666666667
1984,54.0,84.5
1984,55.0,75.0
1984,56.0,83.5
1984,60.0,73.0
1988,13.0,55.57142857142857
1988,14.0,52.38461538461539
1988,15.0,47.790393013100434
1988,16.0,53.92217898832685
1988,17.0,60.1943661971831
1988,18.0,63.33011583011583
1988,19.0,66.92709766162311
1988,20.0,68.98673036093419
1988,21.0,69.51700087183958
1988,22.0,71.03205661948377
1988,23.0,70.84100877192982
1988,24.0,72.31902086677367
1988,25.0,73.16346153846153
1988,26.0,73.48849372384937
1988,27.0,74.2886866059818
1988,28.0,74.595166163142
1988,29.0,75.62741312741312
1988,30.0,73.68634840871022
1988,31.0,75.12407407407407
1988,32.0,74.93548387096774
1988,33.0,73.62237762237763
1988,34.0,74.05217391304348
1988,35.0,75.45454545454545
1988,36.0,75.17073170731707
1988,37.0,73.77966101694915
1988,38.0,69.03448275862068
1988,39.0,73.81481481481481
1988,40.0,77.31818181818181
1988,41.0,71.57142857142857
1988,42.0,69.94736842105263
1988,43.0,76.625
1988,44.0,76.6
1988,45.0,72.75
1988,46.0,71.66666666666667
1988,47.0,72.05555555555556
1988,48.0,69.2
1988,49.0,68.8
1988,50.0,70.625
1988,51.0,70.28571428571429
1988,52.0,75.375
1988,53.0,67.0
1988,54.0,81.5
1988,55.0,54.0
1988,56.0,52.0
1988,60.0,85.0
1988,63.0,50.0
1988,70.0,78.0
1992,12.0,57.0
1992,13.0,47.21052631578947
1992,14.0,56.75555555555555
1992,15.0,48.849557522123895
1992,16.0,55.58011049723757
1992,17.0,57.21454545454545
1992,18.0,66.68044077134986
1992,19.0,67.01119402985074
1992,20.0,68.82290436835892
1992,21.0,70.76011846001974
1992,22.0,71.03140703517587
1992,23.0,71.88951149425287
1992,24.0,73.03398058252426
1992,25.0,71.570784490532
1992,26.0,72.94421052631579
